Question Title,Section,Instructor,Training(Chapter) ,Application,Type,Average Time on Task(HH MM SS),No. of Times Question Presented,% Correct(Guided / Unguided),Correct(Unguided),Correct(Guided),Skipped, 
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:03:58","	209","	100%","	78","	131","	0","	"
"	AC Step 3.3.1: Add an Aggregate Function to a Datasheet","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:04:10","	12","	100%","	4","	8","	0","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:14","	154","	98.05%","	119","	32","	3","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:53","	151","	100%","	109","	42","	0","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:57","	228","	99.56%","	144","	83","	1","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:42","	146","	98.63%","	108","	36","	1","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:28","	157","	100%","	121","	36","	0","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:02:59","	209","	100%","	136","	73","	0","	"
"	AC Step 3.3.2: Create a Totals Query and Add Grouping and Conditions","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:04:22","	12","	100%","	6","	6","	0","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:11","	154","	97.4%","	54","	96","	3","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:24","	151","	98.68%","	40","	109","	0","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:37","	228","	98.25%","	83","	141","	1","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:06:24","	146","	97.95%","	60","	83","	1","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:05:20","	157","	99.36%","	69","	87","	0","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:06:14","	209","	100%","	70","	139","	0","	"
"	AC Step 3.3.3: Add a Calculated Field to a Totals Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 3: Simulation Training","	Access 2019","	SIM5 Question","	00:08:02","	12","	100%","	2","	10","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:11:44","	138","	98.55%","	31","	105","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:13:33","	142","	100%","	26","	116","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:13:31","	227","	100%","	57","	170","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:11:30","	137","	99.27%","	36","	100","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:10:29","	153","	100%","	51","	102","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:14:21","	198","	98.99%","	48","	148","	0","	"
"	AC Step 4.1.1: Create Forms Using Form Tools","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:13:47","	12","	100%","	4","	8","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:44","	138","	100%","	51","	87","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:36","	142","	99.3%","	50","	91","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:08","	227","	100%","	99","	128","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:10","	137","	100%","	59","	78","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:07","	153","	100%","	63","	90","	0","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:06:01","	198","	98.48%","	77","	118","	1","	"
"	AC Step 4.1.2: Use Form View to Edit Data","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:03:58","	12","	100%","	5","	7","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:15:38","	138","	88.41%","	7","	115","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:18:46","	142","	88.03%","	12","	113","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:18:40","	227","	95.59%","	37","	180","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:18:43","	137","	93.43%","	14","	114","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:16:06","	153","	96.08%","	32","	115","	0","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:16:00","	198","	96.46%","	45","	146","	2","	"
"	AC Step 4.1.3: Use Layout View to Modify a Form Design","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:22:49","	12","	100%","	2","	10","	0","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:19","	138","	99.28%","	32","	105","	1","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:11","	142","	99.3%","	27","	114","	0","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:35","	227","	100%","	78","	149","	0","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:43","	137","	99.27%","	41","	95","	1","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:43","	153","	99.35%","	50","	102","	0","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:31","	198","	98.99%","	82","	114","	2","	"
"	AC Step 4.1.4: Use the Form Layout Control and Sort Records in a Form","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:04:27","	12","	100%","	4","	8","	0","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:12","	138","	97.1%","	63","	71","	1","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:59","	142","	99.3%","	48","	93","	0","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:06:06","	227","	100%","	104","	123","	0","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:07:02","	137","	98.54%","	60","	75","	1","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:54","	153","	98.69%","	71","	80","	0","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:06:02","	198","	98.99%","	95","	101","	2","	"
"	AC Step 4.2.1: Creating Reports Using Report Tools","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:05:25","	12","	100%","	8","	4","	0","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:15","	138","	98.55%","	88","	48","	2","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:27","	142","	100%","	81","	61","	0","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:28","	227","	100%","	128","	99","	0","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:26","	137","	98.54%","	81","	54","	1","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:13","	153","	98.69%","	96","	55","	1","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:32","	198","	98.99%","	121","	75","	2","	"
"	AC Step 4.2.2: Use Print Preview and Export a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:07","	12","	100%","	7","	5","	0","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:08:56","	138","	90.58%","	26","	99","	2","	"
"	AC Step 4.2.3: Modifying a Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:09:47","	142","	85.21%","	25","	96","	0","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:08:55","	227","	94.71%","	68","	147","	0","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:09:20","	137","	90.51%","	36","	88","	1","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:07:24","	153","	91.5%","	54","	86","	1","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:08:17","	198","	94.44%","	83","	104","	2","	"
"	AC Step 4.2.3: Modifying a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:07:09","	12","	100%","	3","	9","	0","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:17","	138","	95.65%","	73","	59","	2","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:20","	142","	98.59%","	60","	80","	2","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:41","	227","	99.56%","	117","	109","	0","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:25","	137","	97.08%","	61","	72","	2","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:13","	153","	98.04%","	84","	66","	3","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:01:18","	198","	98.99%","	111","	85","	2","	"
"	AC Step 4.2.4: Sorting and Grouping Records in a Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 4: Simulation Training","	Access 2019","	SIM5 Question","	00:02:09","	12","	100%","	5","	7","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:24","	67","	100%","	41","	26","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:15","	47","	100%","	28","	19","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:07:41","	226","	100%","	88","	138","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:07:57","	156","	99.36%","	71","	84","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:07:41","	165","	100%","	72","	93","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:08:24","	205","	99.51%","	70","	134","	0","	"
"	AC Step 5.1.1: Require a Field and Add a Default Field Value","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:07:42","	10","	100%","	3","	7","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:26","	67","	100%","	54","	13","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:38","	47","	100%","	33","	14","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:49","	226","	100%","	130","	96","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:05:05","	156","	100%","	82","	74","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:48","	165","	100%","	82","	83","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:05:16","	205","	99.02%","	86","	117","	0","	"
"	AC Step 5.1.2: Add a Validation Rule with Validation Text","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:09:17","	10","	100%","	6","	4","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:50","	67","	100%","	54","	13","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:02:27","	47","	100%","	39","	8","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:02:41","	226","	100%","	151","	75","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:23","	156","	100%","	96","	60","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:02:41","	165","	100%","	104","	61","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:02:58","	205","	99.51%","	121","	83","	0","	"
"	AC Step 5.1.3: Create an Input Mask","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:38","	10","	100%","	4","	6","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:03","	67","	100%","	35","	32","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:18","	47","	100%","	28","	19","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:23","	226","	100%","	82","	144","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:06","	156","	100%","	59","	97","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:03:54","	165","	100%","	56","	109","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:36","	205","	99.51%","	66","	138","	0","	"
"	AC Step 5.1.4: Create a Lookup Field","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:18","	10","	100%","	3","	7","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:26","	67","	100%","	58","	9","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:16","	47","	100%","	42","	5","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:32","	226","	100%","	159","	67","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:52","	156","	100%","	113","	43","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:34","	165","	100%","	116","	49","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:39","	205","	99.51%","	131","	73","	0","	"
"	AC Step 5.1.5: Modify a Lookup Field","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:01:21","	10","	100%","	8","	2","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:38","	67","	100%","	52","	15","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:04:45","	47","	100%","	37","	10","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:06:04","	226","	100%","	130","	96","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:06:58","	156","	100%","	87","	69","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:06:05","	165","	100%","	105","	60","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:06:05","	205","	99.51%","	121","	83","	0","	"
"	AC Step 5.2.1: Create a Parameter Query and Report","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:10:01","	10","	100%","	7","	3","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:09:48","	67","	94.03%","	5","	58","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:09:06","	47","	89.36%","	9","	33","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:14:30","	226","	92.48%","	12","	197","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:13:20","	156","	87.82%","	18","	119","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 - session 1","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:13:51","	165","	92.12%","	15","	137","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 Spring 23","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:12:56","	205","	91.71%","	10","	178","	0","	"
"	AC Step 5.2.2: Use the Date and Round Functions in a Query","	BITM 330 Summer 2023","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:15:57","	10","	100%","	1","	9","	0","	"
"	AC Step 5.2.3: Use IIF and IsNull Functions","	BITM 330 -1002","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:05:16","	67","	95.52%","	27","	37","	0","	"
"	AC Step 5.2.3: Use IIF and IsNull Functions","	BITM - 330 -6399","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:05:43","	47","	93.62%","	19","	25","	0","	"
"	AC Step 5.2.3: Use IIF and IsNull Functions","	BITM 330 Spring 22","	Liu, Mai; Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:09:24","	226","	95.58%","	53","	163","	1","	"
"	AC Step 5.2.3: Use IIF and IsNull Functions","	BITM 330 - session 2","	Dvir, Nim","	Access Chapter 5: Simulation Training","	Access 2019","	SIM5 Question","	00:07:39","	156","	91.03%","	44","	98","	1","	"
